"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
2016,"ALABAMA","AL","MONTGOMERY",1101,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",58916,95878,20220315,"TOTAL"
2016,"ALABAMA","AL","MONTGOMERY",1101,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",34003,95878,20220315,"TOTAL"
2016,"ALABAMA","AL","MONTGOMERY",1101,"US PRESIDENT","OTHER","OTHER",2959,95878,20220315,"TOTAL"
2016,"ALABAMA","AL","MORGAN",1103,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",11254,50644,20220315,"TOTAL"
2016,"ALABAMA","AL","MORGAN",1103,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",37486,50644,20220315,"TOTAL"
2016,"ALABAMA","AL","MORGAN",1103,"US PRESIDENT","OTHER","OTHER",1904,50644,20220315,"TOTAL"
2016,"ALABAMA","AL","PERRY",1105,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3824,5278,20220315,"TOTAL"
2016,"ALABAMA","AL","PERRY",1105,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",1407,5278,20220315,"TOTAL"
2016,"ALABAMA","AL","PERRY",1105,"US PRESIDENT","OTHER","OTHER",47,5278,20220315,"TOTAL"
2016,"ALABAMA","AL","PICKENS",1107,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3972,9542,20220315,"TOTAL"
2016,"ALABAMA","AL","PICKENS",1107,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5456,9542,20220315,"TOTAL"
2016,"ALABAMA","AL","PICKENS",1107,"US PRESIDENT","OTHER","OTHER",114,9542,20220315,"TOTAL"
2016,"ALABAMA","AL","PIKE",1109,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",5056,13168,20220315,"TOTAL"
2016,"ALABAMA","AL","PIKE",1109,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",7693,13168,20220315,"TOTAL"
2016,"ALABAMA","AL","PIKE",1109,"US PRESIDENT","OTHER","OTHER",419,13168,20220315,"TOTAL"
